"Month","Day","Low","High","NormalLow","NormalHigh","Record Low","Year","Record High","RecordYear","Precip","RecordPrecip"
"1","1","36","57","48","64","36","2015","81","2012","0",".87 1982"
"1","2","38","56","48","64","35","1952","80","2001","0",".98 2006"
"1","3","42","59","48","64","34","1952","82","2001","0",".82 2005"
"1","4","42","61","49","64","27","1949","85","2012","0","3.50 1995"
"1","5","50","79","49","65","32","1949","83","2012","0","1.32 1979"
"1","6","55","83","49","65","34","1950","86","2006","0","3.23 1993"
"1","7","53","79","49","65","36","1971","86","1962","0","1.67 1974"
"1","8","51","71","49","65","35","1982","84","2007","0","1.07 1950"
"1","9","56","71","49","65","35","1949","83","2007","0","1.70 1998"
"1","10","53","61","49","65","31","1949","84","1953","0.69","2.93 1995"
"1","11","55","60","49","65","33","1949","88","1986","0.39","1.16 1980"
"1","12","53","62","49","65","34","1949","87","1983","0","1.21 1954"
"1","13","55","63","49","65","30","1963","83","2014","0",".93 1993"
"1","14","47","69","49","65","35","2007","87","1975","0","1.51 1978"
"1","15","50","73","49","65","35","2007","86","1976","0","1.61 1952"
"1","16","50","73","49","65","31","1947","88","1976","0","1.70 1973"
"1","17","49","74","49","65","33","1987","88","1976","0","1.40 1988"
"1","18","52","68","49","65","35","1947","86","1971","0","1.20 1952"
"1","19","50","66","49","65","40","1955","86","1975","0","1.70 1969"
"1","20","53","59","49","65","36","1947","85","1976","0","2.63 1969"
"1","21","55","63","49","65","37","1966","83","1976","0",".73 2010"
"1","22","48","73","49","65","38","1966","82","1976","0","1.94 1983"
"1","23","51","72","49","65","37","1945","86","1953","0","1.16 1995"
"1","24","48","76","49","65","35","1947","83","1951","0","1.53 1969"
"1","25","48","80","49","65","36","1947","86","1951","0","2.77 1956"
"1","26","55","76","49","65","35","1950","85","2003","0.13","4.56 1956"
"1","27","54","69","49","65","35","1950","83","1986","NA","1.50 1983"
"1","28","56","72","49","65","32","1948","86","1971","0","1.82 1980"
"1","29","59","73","49","65","34","1979","83","1962","NA",".99 1951"
"1","30","58","68","49","65","36","1945","83","1992","0.04","1.18 1979"
"1","31","55","66","49","65","34","1946","91","2003","0","1.25 1996"
"2","1","50","70","49","65","37","1950","79","1954","0","1.55 1960"
"2","2","50","68","49","65","39","1956","88","1995","0",".82 1988"
"2","3","53","62","49","65","36","1948","92","1963","0","3.10 1998"
"2","4","54","62","49","65","36","1948","84","2001","0",".56 1958"
"2","5","49","72","49","64","37","1946","86","2007","0","1.42 1978"
"2","6","53","65","50","64","35","1989","84","1987","0","1.53 1950"
"2","7","51","64","50","64","37","1948","91","1954","NA","2.42 1993"
"2","8","59","71","50","64","38","1948","87","2006","0","3.91 1962"
"2","9","56","67","50","64","39","2013","85","2006","0","1.66 1963"
"2","10","51","72","50","64","38","1946","83","1988","0","2.50 1963"
"2","11","55","83","50","64","37","1999","88","1988","0","1.98 2005"
"2","12","57","84","50","64","34","1948","88","1977","0","2.15 2003"
"2","13","56","84","50","64","35","1948","85","2006","0","3.28 1954"
"2","14","58","82","50","64","34","1949","85","1985","0","2.66 1986"
"2","15","53","74","50","64","37","1949","84","1977","0","1.54 1962"
"2","16","54","63","50","64","39","1990","84","1953","0","1.82 1980"
"2","17","58","65","50","64","37","1956","87","2007","0","1.88 1990"
"2","18","56","67","50","64","40","1946","82","1981","0","1.29 1993"
"2","19","57","65","50","64","38","1955","87","1995","0","3.49 1958"
"2","20","57","65","50","64","38","1945","90","1995","0","1.90 1996"
"2","21","58","65","50","64","40","1953","89","2002","0","1.18 2000"
"2","22","53","62","51","64","36","1953","88","2002","0.27","1.53 2004"
"2","23","48","62","51","64","42","1975","90","1954","NA","1.87 1998"
"2","24","45","72","51","64","40","1987","87","1986","0",".75 2008"
"2","25","48","69","51","64","39","1962","84","1989","0","1.86 2001"
"2","26","50","64","51","64","38","1964","83","1980","0","2.35 1983"
"2","27","52","64","51","64","37","1996","83","1992","0","1.60 1991"
"2","28","53","61","51","64","37","1962","84","1967","NA","1.61 1978"
"3","1","50","63","51","64","36","1945","81","2013","0.25","2.55 1983"
"3","2","47","60","51","64","38","1953","82","2013","0.17","1.46 1980"
"3","3","47","63","51","64","41","1953","78","1972","0.07",".90 1980"
"3","4","47","68","51","64","38","1951","87","2012","0","2.27 1978"
"3","5","49","73","51","64","35","1945","81","2007","0","1.89 1995"
"3","6","50","79","51","64","42","1976","84","1979","0",".54 1962"
"3","7","51","83","51","64","41","1951","87","1955","0","3.10 1968"
"3","8","51","71","51","64","39","1964","89","2004","0",".88 2000"
"3","9","53","64","51","64","38","1952","85","2014","0",".18 1957"
"3","10","55","68","52","64","39","1962","87","1997","0","1.67 1995"
"3","11","58","71","52","64","40","1969","88","1959","NA",".75 1995"
"3","12","54","81","52","64","40","2006","86","2007","0",".36 1967"
"3","13","60","85","52","64","39","1990","86","1994","0",".60 1979"
"3","14","64","90","52","64","41","1962","90","2015","0",".43 1982"
"3","15","66","88","52","64","40","1977","88","2015","0","2.30 1958"
"3","16","63","87","52","64","40","1991","93","1978","0","1.89 1986"
"3","17","60","78","52","64","39","1952","91","1978","0",".89 1982"
"3","18","60","72","52","64","41","1963","79","1988","NA",".68 1991"
"3","19","59","68","52","64","42","1948","87","1997","0",".76 1981"
"3","20","57","70","52","64","43","1948","87","1988","0","2.36 2011"
"3","21","60","68","52","65","41","1948","83","1986","0",".73 1958"
"3","22","58","66","52","65","41","1952","82","1976","0",".82 2005"
"3","23","55","68","52","65","42","1948","84","2008","0",".52 2011"
"3","24","54","71","52","65","43","1964","88","1988","0",".70 1948"
"3","25","57","76","52","65","42","1949","93","1988","0","1.39 1998"
"3","26","58","85","52","65","42","1977","95","1988","0",".70 1991"
"3","27","60","83","52","65","40","1945","87","1952","0","1.61 1979"
